
------------------------------cross validation on group: 0--------------------------

training data: 1 11 21 31 41 51 61 71 81 91 2 12 22 32 42 52 62 72 82 3 13 23 33 43 53 63 73 83 4 14 24 34 44 54 64 74 84 5 15 25 35 45 55 65 75 85 6 16 26 36 46 56 66 76 86 7 17 27 37 47 57 67 77 87 8 18 28 38 48 58 68 78 88 9 19 29 39 49 59 69 79 89 

test data : 0 10 20 30 40 50 60 70 80 90 

sepallength,petallength,petalwidth,label,classification

5.5,4.0,1.3,Iris-versicolor,Iris-versicolor
7.6,6.6,2.1,Iris-virginica,Iris-virginica
5.1,1.7,0.5,Iris-setosa,Iris-setosa
6.7,4.4,1.4,Iris-versicolor,Iris-versicolor
4.8,1.4,0.3,Iris-setosa,Iris-setosa
5.8,4.1,1.0,Iris-versicolor,Iris-versicolor
4.9,1.4,0.2,Iris-setosa,Iris-setosa
7.2,6.0,1.8,Iris-virginica,Iris-virginica
5.0,1.6,0.4,Iris-setosa,Iris-setosa
6.2,4.3,1.3,Iris-versicolor,Iris-versicolor
=======correct : 10, wrong : 0 accuracy: 1.0

------------------------------cross validation on group: 1--------------------------

training data: 0 10 20 30 40 50 60 70 80 90 2 12 22 32 42 52 62 72 82 3 13 23 33 43 53 63 73 83 4 14 24 34 44 54 64 74 84 5 15 25 35 45 55 65 75 85 6 16 26 36 46 56 66 76 86 7 17 27 37 47 57 67 77 87 8 18 28 38 48 58 68 78 88 9 19 29 39 49 59 69 79 89 

test data : 1 11 21 31 41 51 61 71 81 91 

sepallength,petallength,petalwidth,label,classification

5.9,4.8,1.8,Iris-versicolor,Iris-virginica
7.2,5.8,1.6,Iris-virginica,Iris-versicolor
5.2,1.4,0.2,Iris-setosa,Iris-setosa
5.1,1.6,0.2,Iris-setosa,Iris-setosa
4.9,1.5,0.1,Iris-setosa,Iris-setosa
5.5,3.7,1.0,Iris-versicolor,Iris-versicolor
4.9,4.5,1.7,Iris-virginica,Iris-versicolor
4.6,1.5,0.2,Iris-setosa,Iris-setosa
4.8,1.6,0.2,Iris-setosa,Iris-setosa
6.1,4.0,1.3,Iris-versicolor,Iris-versicolor
=======correct : 7, wrong : 3 accuracy: 0.7

------------------------------cross validation on group: 2--------------------------

training data: 0 10 20 30 40 50 60 70 80 90 1 11 21 31 41 51 61 71 81 91 3 13 23 33 43 53 63 73 83 4 14 24 34 44 54 64 74 84 5 15 25 35 45 55 65 75 85 6 16 26 36 46 56 66 76 86 7 17 27 37 47 57 67 77 87 8 18 28 38 48 58 68 78 88 9 19 29 39 49 59 69 79 89 

test data : 2 12 22 32 42 52 62 72 82 

sepallength,petallength,petalwidth,label,classification

4.9,3.3,1.0,Iris-versicolor,Iris-versicolor
5.0,1.6,0.2,Iris-setosa,Iris-setosa
4.6,1.4,0.2,Iris-setosa,Iris-setosa
7.7,6.7,2.0,Iris-virginica,Iris-virginica
5.6,3.6,1.3,Iris-versicolor,Iris-versicolor
5.0,1.5,0.2,Iris-setosa,Iris-setosa
6.0,4.5,1.5,Iris-versicolor,Iris-versicolor
6.1,4.7,1.4,Iris-versicolor,Iris-versicolor
6.0,4.5,1.6,Iris-versicolor,Iris-versicolor
=======correct : 9, wrong : 0 accuracy: 1.0

------------------------------cross validation on group: 3--------------------------

training data: 0 10 20 30 40 50 60 70 80 90 1 11 21 31 41 51 61 71 81 91 2 12 22 32 42 52 62 72 82 4 14 24 34 44 54 64 74 84 5 15 25 35 45 55 65 75 85 6 16 26 36 46 56 66 76 86 7 17 27 37 47 57 67 77 87 8 18 28 38 48 58 68 78 88 9 19 29 39 49 59 69 79 89 

test data : 3 13 23 33 43 53 63 73 83 

sepallength,petallength,petalwidth,label,classification

7.7,6.7,2.2,Iris-virginica,Iris-virginica
5.4,1.5,0.4,Iris-setosa,Iris-setosa
6.6,4.4,1.4,Iris-versicolor,Iris-versicolor
5.1,1.5,0.2,Iris-setosa,Iris-setosa
6.3,5.6,2.4,Iris-virginica,Iris-virginica
5.0,3.5,1.0,Iris-versicolor,Iris-versicolor
7.0,4.7,1.4,Iris-versicolor,Iris-versicolor
6.1,4.6,1.4,Iris-versicolor,Iris-versicolor
6.8,5.5,2.1,Iris-virginica,Iris-virginica
=======correct : 9, wrong : 0 accuracy: 1.0

------------------------------cross validation on group: 4--------------------------

training data: 0 10 20 30 40 50 60 70 80 90 1 11 21 31 41 51 61 71 81 91 2 12 22 32 42 52 62 72 82 3 13 23 33 43 53 63 73 83 5 15 25 35 45 55 65 75 85 6 16 26 36 46 56 66 76 86 7 17 27 37 47 57 67 77 87 8 18 28 38 48 58 68 78 88 9 19 29 39 49 59 69 79 89 

test data : 4 14 24 34 44 54 64 74 84 

sepallength,petallength,petalwidth,label,classification

4.9,1.5,0.1,Iris-setosa,Iris-setosa
4.8,1.9,0.2,Iris-setosa,Iris-setosa
6.4,5.6,2.2,Iris-virginica,Iris-virginica
5.2,1.5,0.1,Iris-setosa,Iris-setosa
5.5,1.3,0.2,Iris-setosa,Iris-setosa
6.4,4.5,1.5,Iris-versicolor,Iris-versicolor
6.4,5.6,2.1,Iris-virginica,Iris-virginica
7.2,6.1,2.5,Iris-virginica,Iris-virginica
6.0,5.1,1.6,Iris-versicolor,Iris-virginica
=======correct : 8, wrong : 1 accuracy: 0.8888888888888888

------------------------------cross validation on group: 5--------------------------

training data: 0 10 20 30 40 50 60 70 80 90 1 11 21 31 41 51 61 71 81 91 2 12 22 32 42 52 62 72 82 3 13 23 33 43 53 63 73 83 4 14 24 34 44 54 64 74 84 6 16 26 36 46 56 66 76 86 7 17 27 37 47 57 67 77 87 8 18 28 38 48 58 68 78 88 9 19 29 39 49 59 69 79 89 

test data : 5 15 25 35 45 55 65 75 85 

sepallength,petallength,petalwidth,label,classification

6.1,4.9,1.8,Iris-virginica,Iris-virginica
6.3,4.4,1.3,Iris-versicolor,Iris-versicolor
4.4,1.3,0.2,Iris-setosa,Iris-setosa
5.6,4.9,2.0,Iris-virginica,Iris-versicolor
5.4,1.7,0.2,Iris-setosa,Iris-setosa
5.9,4.2,1.5,Iris-versicolor,Iris-versicolor
6.3,4.7,1.6,Iris-versicolor,Iris-versicolor
6.5,5.2,2.0,Iris-virginica,Iris-virginica
5.4,1.7,0.4,Iris-setosa,Iris-setosa
=======correct : 8, wrong : 1 accuracy: 0.8888888888888888

------------------------------cross validation on group: 6--------------------------

training data: 0 10 20 30 40 50 60 70 80 90 1 11 21 31 41 51 61 71 81 91 2 12 22 32 42 52 62 72 82 3 13 23 33 43 53 63 73 83 4 14 24 34 44 54 64 74 84 5 15 25 35 45 55 65 75 85 7 17 27 37 47 57 67 77 87 8 18 28 38 48 58 68 78 88 9 19 29 39 49 59 69 79 89 

test data : 6 16 26 36 46 56 66 76 86 

sepallength,petallength,petalwidth,label,classification

5.4,1.5,0.2,Iris-setosa,Iris-setosa
6.9,5.7,2.3,Iris-virginica,Iris-virginica
5.3,1.5,0.2,Iris-setosa,Iris-setosa
6.0,4.8,1.8,Iris-virginica,Iris-versicolor
5.2,3.9,1.4,Iris-versicolor,Iris-versicolor
5.7,5.0,2.0,Iris-virginica,Iris-virginica
6.0,5.0,1.5,Iris-virginica,Iris-versicolor
5.0,1.4,0.2,Iris-setosa,Iris-setosa
6.7,5.2,2.3,Iris-virginica,Iris-virginica
=======correct : 7, wrong : 2 accuracy: 0.7777777777777778

------------------------------cross validation on group: 7--------------------------

training data: 0 10 20 30 40 50 60 70 80 90 1 11 21 31 41 51 61 71 81 91 2 12 22 32 42 52 62 72 82 3 13 23 33 43 53 63 73 83 4 14 24 34 44 54 64 74 84 5 15 25 35 45 55 65 75 85 6 16 26 36 46 56 66 76 86 8 18 28 38 48 58 68 78 88 9 19 29 39 49 59 69 79 89 

test data : 7 17 27 37 47 57 67 77 87 

sepallength,petallength,petalwidth,label,classification

5.1,1.9,0.4,Iris-setosa,Iris-setosa
5.1,1.4,0.2,Iris-setosa,Iris-setosa
6.4,5.5,1.8,Iris-virginica,Iris-virginica
5.4,4.5,1.5,Iris-versicolor,Iris-versicolor
6.9,5.1,2.3,Iris-virginica,Iris-virginica
5.7,1.5,0.4,Iris-setosa,Iris-setosa
4.6,1.4,0.3,Iris-setosa,Iris-setosa
6.9,4.9,1.5,Iris-versicolor,Iris-virginica
4.5,1.3,0.3,Iris-setosa,Iris-setosa
=======correct : 8, wrong : 1 accuracy: 0.8888888888888888

------------------------------cross validation on group: 8--------------------------

training data: 0 10 20 30 40 50 60 70 80 90 1 11 21 31 41 51 61 71 81 91 2 12 22 32 42 52 62 72 82 3 13 23 33 43 53 63 73 83 4 14 24 34 44 54 64 74 84 5 15 25 35 45 55 65 75 85 6 16 26 36 46 56 66 76 86 7 17 27 37 47 57 67 77 87 9 19 29 39 49 59 69 79 89 

test data : 8 18 28 38 48 58 68 78 88 

sepallength,petallength,petalwidth,label,classification

5.5,4.4,1.2,Iris-versicolor,Iris-versicolor
6.7,5.6,2.4,Iris-virginica,Iris-virginica
6.1,5.6,1.4,Iris-virginica,Iris-virginica
5.6,4.5,1.5,Iris-versicolor,Iris-versicolor
5.0,1.4,0.2,Iris-setosa,Iris-setosa
6.7,5.0,1.7,Iris-versicolor,Iris-virginica
4.3,1.1,0.1,Iris-setosa,Iris-setosa
6.7,5.7,2.1,Iris-virginica,Iris-virginica
5.8,3.9,1.2,Iris-versicolor,Iris-versicolor
=======correct : 8, wrong : 1 accuracy: 0.8888888888888888

------------------------------cross validation on group: 9--------------------------

